DATE;DAYTYPE;STD;DAYTYPE2;TIMESPENT;DAYTYPE3;TIMEREC;DAYTYPE4;TIMESPENT2
4/06/2016;-;0:00;;;;;;
5/06/2016;-;0:00;;;;;;
6/06/2016;07:36;7:36;PRE;7:32;;;;
7/06/2016;07:36;7:36;PRE;7:49;;;;
8/06/2016;07:36;7:36;PRE;7:47;;;;
9/06/2016;07:36;7:36;PRE;8:01;;;;
10/06/2016;07:36;7:36;PRE;8:03;;;;
11/06/2016;WK-PT;0:00;;;;;;
12/06/2016;WK-PT;0:00;;;;;;
8/09/2016;07:36;7:36;PRE;7:23;;;;
9/09/2016;07:36;7:36;PRE;7:22;;;;
23/09/2016;07:36;7:36;PRE;3:45;MAL;3:48;;
16/12/2016;07:36;7:36;PRE;3:45;CAO;3:48;;
3/03/2017;07:36;7:36;PRE;3:02;CAO;3:48;;
23/05/2017;07:36;7:36;PRE;5:37;CAO;3:48;;
2/11/2017;07:36;7:36;;;COLFE;7:36;;
9/11/2017;07:36;7:36;;;MAL;7:36;;
1/05/2018;07:36;7:36;;;JFR;7:36;;
2/05/2018;07:36;7:36;PRE;8:05;;;;
3/05/2018;07:36;7:36;PRE;8:12;;;;
4/05/2018;07:36;7:36;PRE;8:08;;;;
5/05/2018;WK-PT;0:00;;;;;;
6/05/2018;WK-PT;0:00;;;;;;
7/05/2018;07:36;7:36;PRE;7:42;;;;
8/05/2018;07:36;7:36;PRE;8:03;;;;
9/05/2018;07:36;7:36;PRE;8:11;;;;
10/05/2018;07:36;7:36;;;JFR;7:36;;
11/05/2018;07:36;7:36;;;CAO;7:36;;
12/05/2018;WK-PT;0:00;;;;;;
13/05/2018;WK-PT;0:00;;;;;;
14/05/2018;07:36;7:36;;;CAO;7:36;;
15/05/2018;07:36;7:36;PRE;8:06;;;;
16/05/2018;07:36;7:36;PRE;8:02;;;;
17/05/2018;07:36;7:36;PRE;8:01;;;;
18/05/2018;07:36;7:36;PRE;8:07;;;;
19/05/2018;WK-PT;0:00;;;;;;
20/05/2018;WK-PT;0:00;;;;;;
21/05/2018;07:36;7:36;;;JFR;7:36;;
22/05/2018;07:36;7:36;PRE;8:07;;;;
23/05/2018;07:36;7:36;PRE;7:54;;;;
24/05/2018;07:36;7:36;PRE;7:38;;;;
25/05/2018;07:36;7:36;PRE;8:09;;;;
26/05/2018;WK-PT;0:00;;;;;;
27/05/2018;WK-PT;0:00;;;;;;
28/05/2018;07:36;7:36;PRE;8:10;;;;
29/05/2018;07:36;7:36;PRE;8:09;;;;
30/05/2018;07:36;7:36;PRE;8:04;;;;
31/05/2018;07:36;7:36;PRE;8:03;;;;
